Project,Model,TopN,C_index
TCGA-PRAD,hm,30,0.836789806
TCGA-PRAD,hm,40,0.904013015
TCGA-PRAD,hm,50,0.919897136
TCGA-PRAD,hm,60,0.944048817
TCGA-PRAD,hm,70,0.939113484
TCGA-PRAD,hm,80,0.932481899
TCGA-PRAD,hm,90,0.947214229
TCGA-PRAD,hm,100,0.962357828
TCGA-PRAD,m+hm,5,0.842003333
TCGA-PRAD,m+hm,10,0.833929427
TCGA-PRAD,m+hm,20,0.847786994
TCGA-PRAD,m+hm,30,0.827035502
TCGA-PRAD,m+hm,40,0.852379829
TCGA-PRAD,m+hm,50,0.870171755
TCGA-PRAD,m+hm,60,0.80865599
TCGA-PRAD,m+hm,70,0.80046526
TCGA-PRAD,m+hm,80,0.796079248
TCGA-PRAD,m+hm,90,0.875779035
TCGA-PRAD,m+hm,100,0.945274333
TCGA-READ,m,5,0.686777607
TCGA-READ,m,10,0.732617438
TCGA-READ,m,20,0.734345636
TCGA-READ,m,30,0.715895427
TCGA-READ,m,40,0.755602564
TCGA-READ,m,50,0.780294156
TCGA-READ,m,60,0.785707535
TCGA-READ,m,70,0.793719896
TCGA-READ,m,80,0.77519091
TCGA-READ,m,90,0.793984848
TCGA-READ,m,100,0.798391839
TCGA-READ,hm,5,0.715313138
TCGA-READ,hm,10,0.758552879
TCGA-READ,hm,20,0.779648478
TCGA-READ,hm,30,0.808930782
TCGA-READ,hm,40,0.799240665
TCGA-READ,hm,50,0.794124584
TCGA-READ,hm,60,0.833001995
TCGA-READ,hm,70,0.834848976
TCGA-READ,hm,80,0.83056731
TCGA-READ,hm,90,0.848170913
TCGA-READ,hm,100,0.84252558
TCGA-READ,m+hm,5,0.781738345
TCGA-READ,m+hm,10,0.773031327
TCGA-READ,m+hm,20,0.803606689
TCGA-READ,m+hm,30,0.815919381
TCGA-READ,m+hm,40,0.798956217
TCGA-READ,m+hm,50,0.826141371
TCGA-READ,m+hm,60,0.824106748
TCGA-READ,m+hm,70,0.829838646
TCGA-READ,m+hm,80,0.813840724
TCGA-READ,m+hm,90,0.837910981
TCGA-READ,m+hm,100,0.847085976
TCGA-SKCM,m,5,0.566641752
TCGA-SKCM,m,10,0.561727227
TCGA-SKCM,m,20,0.573794964
TCGA-SKCM,m,30,0.562390079
TCGA-SKCM,m,40,0.539874634
TCGA-SKCM,m,50,0.562040435
TCGA-SKCM,m,60,0.564135595
TCGA-SKCM,m,70,0.561271223
TCGA-SKCM,m,80,0.571310845
TCGA-SKCM,m,90,0.577769541
TCGA-SKCM,m,100,0.580386922
TCGA-SKCM,hm,5,0.583658978
TCGA-SKCM,hm,10,0.602067243
TCGA-SKCM,hm,20,0.610770874
TCGA-SKCM,hm,30,0.581606359
TCGA-SKCM,hm,40,0.582598049
TCGA-SKCM,hm,50,0.582908801
TCGA-SKCM,hm,60,0.591988002
TCGA-SKCM,hm,70,0.59865418
TCGA-SKCM,hm,80,0.592617646
TCGA-SKCM,hm,90,0.597208955
TCGA-SKCM,hm,100,0.601536559
TCGA-SKCM,m+hm,5,0.56670675
TCGA-SKCM,m+hm,10,0.594201125
TCGA-SKCM,m+hm,20,0.60454882
TCGA-SKCM,m+hm,30,0.571335689
TCGA-SKCM,m+hm,40,0.574057247
TCGA-SKCM,m+hm,50,0.583011699
TCGA-SKCM,m+hm,60,0.584977749
TCGA-SKCM,m+hm,70,0.589000137
TCGA-SKCM,m+hm,80,0.590380397
TCGA-SKCM,m+hm,90,0.593858073
TCGA-SKCM,m+hm,100,0.598925512
